#,Company,Symbol,Weight,Price,Chg,% Chg
190,Aflac Incorporated,AFL,0.118729,66,-0.81,(-1.21%)
191,Realty Income Corporation,O,0.118727,60.9,-1.31,(-2.11%)
192,MSCI Inc. Class A,MSCI,0.117366,453.74,-16.34,(-3.48%)
193,FedEx Corporation,FDX,0.116253,154.97,-3.22,(-2.04%)
194,Paychex Inc.,PAYX,0.115785,115.06,-3,(-2.54%)
195,Trane Technologies plc,TT,0.114601,160.81,1.02,(0.64%)
196,Simon Property Group Inc.,SPG,0.114554,111.64,-2.2,(-1.93%)
197,Parker-Hannifin Corporation,PH,0.114171,283.55,-5.39,(-1.87%)
198,Fortinet Inc.,FTNT,0.114112,46.5,-9.92,(-17.58%)
199,Cintas Corporation,CTAS,0.113834,415.44,-12.83,(-3.00%)
200,Hilton Worldwide Holdings Inc,HLT,0.113242,129.5,-4.24,(-3.17%)
201,Monster Beverage Corporation,MNST,0.112147,93.49,-0.86,(-0.91%)
202,Kinder Morgan Inc Class P,KMI,0.111751,17.88,-0.36,(-1.97%)
203,Xcel Energy Inc.,XEL,0.110614,65.33,-0.57,(-0.86%)
204,Ecolab Inc.,ECL,0.108956,140.12,-2.86,(-2.00%)
205,Nucor Corporation,NUE,0.108825,128.72,-5.78,(-4.30%)
206,Hershey Company,HSY,0.107909,235.1,-2.66,(-1.12%)
207,Cummins Inc.,CMI,0.107406,240.5,-6.2,(-2.51%)
208,Microchip Technology Incorporated,MCHP,0.106124,60.8,-1.56,(-2.50%)
209,Illumina Inc.,ILMN,0.105109,210.8,-8.33,(-3.80%)
210,Allstate Corporation,ALL,0.105031,124.22,-1.53,(-1.22%)
211,Ameriprise Financial Inc.,AMP,0.104989,308.77,-5.35,(-1.70%)
212,Dow Inc.,DOW,0.10415,48.68,1.75,(3.73%)
213,Yum! Brands Inc.,YUM,0.103855,117.37,-0.78,(-0.66%)
214,Carrier Global Corp.,CARR,0.103287,39.12,-0.59,(-1.49%)
215,Dollar Tree Inc.,DLTR,0.103136,153.95,-4.17,(-2.64%)
216,PACCAR Inc,PCAR,0.1031,95.33,-1.62,(-1.67%)
217,Electronic Arts Inc.,EA,0.103063,129.98,3.71,(2.94%)
218,Ross Stores Inc.,ROST,0.102272,92.63,-2.05,(-2.17%)
219,Newmont Corporation,NEM,0.102056,39.76,-1.95,(-4.68%)
220,IDEXX Laboratories Inc.,IDXX,0.101601,380,-14.93,(-3.78%)
221,Halliburton Company,HAL,0.100851,35.8,-0.7,(-1.92%)
222,Cognizant Technology Solutions Corporation Class A,CTSH,0.099949,57.25,-5.28,(-8.44%)
