DATE,BAMLH0A3HYCEY
2019-08-16,12.40
2019-08-19,12.27
2019-08-20,12.23
2019-08-21,12.13
2019-08-22,12.14
2019-08-23,12.15
2019-08-26,12.17
2019-08-27,12.15
2019-08-28,12.15
2019-08-29,12.04
2019-08-30,12.06
2019-08-31,12.04
2019-09-02,12.04
2019-09-03,12.18
2019-09-04,12.12
2019-09-05,12.11
2019-09-06,12.01
2019-09-09,12.00
2019-09-10,11.92
2019-09-11,11.84
2019-09-12,11.79
2019-09-13,11.82
2019-09-16,11.62
2019-09-17,11.65
2019-09-18,11.72
2019-09-19,11.73
2019-09-20,11.73
2019-09-23,11.73
2019-09-24,11.70
2019-09-25,11.79
2019-09-26,11.79
2019-09-27,11.85
2019-09-30,12.20
2019-10-01,12.22
2019-10-02,12.52
2019-10-03,12.59
2019-10-04,12.48
2019-10-07,12.48
2019-10-08,12.60
2019-10-09,12.59
2019-10-10,12.58
2019-10-11,12.48
2019-10-14,12.33
2019-10-15,12.30
2019-10-16,12.26
2019-10-17,12.22
2019-10-18,12.27
2019-10-21,12.22
2019-10-22,12.25
2019-10-23,12.21
2019-10-24,12.19
2019-10-25,12.17
2019-10-28,12.18
2019-10-29,12.14
2019-10-30,12.25
2019-10-31,12.37
2019-11-01,12.38
2019-11-04,12.25
2019-11-05,12.29
2019-11-06,12.43
2019-11-07,12.49
2019-11-08,12.49
2019-11-11,12.50
2019-11-12,12.50
2019-11-13,12.66
2019-11-14,12.72
2019-11-15,12.68
2019-11-18,12.75
2019-11-19,13.01
2019-11-20,12.98
2019-11-21,13.08
2019-11-22,13.09
2019-11-25,13.05
2019-11-26,12.99
2019-11-27,12.96
2019-11-28,.
2019-11-29,13.01
2019-11-30,13.07
2019-12-02,13.15
2019-12-03,13.15
2019-12-04,12.99
2019-12-05,12.93
2019-12-06,12.77
2019-12-09,12.72
2019-12-10,12.63
2019-12-11,12.53
2019-12-12,12.35
2019-12-13,12.21
2019-12-16,11.98
2019-12-17,11.89
2019-12-18,11.76
2019-12-19,11.71
2019-12-20,11.65
2019-12-23,11.64
2019-12-24,11.64
2019-12-25,.
2019-12-26,11.64
2019-12-27,11.62
2019-12-30,11.62
2019-12-31,11.78
2020-01-01,.
2020-01-02,11.70
2020-01-03,11.63
2020-01-06,11.65
2020-01-07,11.58
2020-01-08,11.55
2020-01-09,11.50
2020-01-10,11.44
2020-01-13,11.50
2020-01-14,11.36
2020-01-15,11.31
2020-01-16,11.25
2020-01-17,11.20
2020-01-20,11.20
2020-01-21,11.25
2020-01-22,11.33
2020-01-23,11.45
2020-01-24,11.49
2020-01-27,12.04
2020-01-28,11.86
2020-01-29,11.82
2020-01-30,11.98
2020-01-31,11.86
