,public_date,roa,intcov_ratio,quick_ratio,intcov,bm,npm,debt_assets,debt_ebitda,inv_turn,cash_ratio
47528,2021-12-31,0.025208372037297,,,,0.8210554235929648,0.3039438276809808,0.8877062041204934,1.066857602424911,5.2543596834908195,
48065,2021-12-31,0.02539448323930571,,,,0.5420898099258545,0.3273664794164501,0.9041551067955254,3.6645370833035904,0.04632480921140715,
48689,2021-12-31,0.04569752690402342,0.8964001674340728,1.0668227329178894,1.6000418585182083,0.6622749152244636,0.02129777513650039,0.8676047252035143,12.90033355852052,8.66059900100689,0.5042753360370162
49522,2021-12-31,0.1107564210293922,24.611241217798597,,22.442622950819672,0.7734548695604447,0.2179948096473893,0.4727164396484665,3.087136929460581,,
50217,2021-12-31,0.02838191198295793,2.1453768038482095,1.4968627365005591,2.418492784607162,0.3311883556642571,0.03548602754378927,0.8481457051621891,9.816768639726806,3.2642768701114364,0.6196479073948217
50843,2021-12-31,0.09933304392438533,9.41019955654102,1.026819544660802,8.332594235033259,0.2955637052161247,0.08554503595633504,0.6956050317921344,2.9885280095351607,5.483636999169835,0.176666337188231
51690,2021-12-31,0.1120584853261343,11.047261319133952,0.6232460869376444,2.7435681282212716,0.1971356348157106,0.0444580854904185,0.7656075304468356,2.2214960477993126,3.27225036224256,0.1587507398981682
52557,2021-12-31,0.2503797764188058,16.569767441860463,1.4750450008181968,11.790697674418604,0.09022021198223967,0.07362741986670898,0.6691130298273156,1.554449284380834,4.595276046949717,0.3308787432498773
53400,2021-12-31,0.121089516653421,3.013084112149533,1.7101500649887746,1.7439252336448599,0.2939216526250654,0.02792002806032971,0.7441734677933098,4.222653142402546,4.912086743914107,0.608472172988302
53756,2021-12-31,0.08147917574550208,6.668079096045198,1.2103851354779507,5.423728813559323,0.27327775677343,0.1183330604637104,0.7059851850975918,2.7959071923390386,,0.4262432139697918
54380,2021-12-31,0.1233791840575353,8.349538768386935,0.5185966663861084,6.803789578658688,0.3357555446968452,0.1271874948778609,0.6889030864125827,3.403462025316456,6.228531894285318,0.2296554066016352
54511,2021-12-31,0.09716473715786862,11.050100200400802,0.902582550867176,12.146292585170341,0.6848795295010435,0.08495623883059157,0.7669547624912864,4.7958943965517244,7.990708292448485,0.4075545801085826
55166,2021-12-31,0.2588206132551082,13.850174807372458,0.9550561923296417,10.730443637351074,0.07999186770541968,0.1623181732579291,0.7447798166547963,1.9958146244250055,4.557813587170019,0.4717884700205618
55192,2021-12-31,0.08972533200689566,8.665413533834586,1.4289772727272727,6.849624060150376,0.4793694735392923,0.08585301258000441,0.4406977708944079,2.368620899149453,12.360455870659953,0.3134856215213358
55794,2021-12-31,0.1161788925139829,5.11429236499069,1.4516685521963506,3.445070590273266,0.2453305339095986,0.07368273030981713,0.7111746867477413,4.006188845421316,5.961703646657564,0.6113064056811593
55914,2021-12-31,0.06538737063512629,4.674300254452926,1.0013543353452083,2.9516539440203564,1.3607908603585717,0.08758373934226553,0.4850433753640226,4.0889277389277385,5.988796032693544,0.3530398940085382
56309,2021-12-31,0.1745371191551487,22.106299212598426,0.4894143524883146,26.60236220472441,,0.1024304188259014,1.0427350427350428,1.372420262664165,7.117685165191103,0.147924113280176
56854,2021-12-31,0.3597829338119045,17.065524944154877,0.407500980926952,12.867460908413998,0.002661762919271379,0.1079086520558704,0.9715941564325243,1.7119754552652415,5.200701232469188,0.231364780415913
57398,2021-12-31,0.0505019400135493,1.4819277108433735,1.2362242918121846,1.0939759036144578,,0.0080545229244114,1.0894936087307747,12.834756097560975,,0.7978269305393869
58385,2021-12-31,0.1167309625456505,25.816588542267993,1.1151156991750808,21.985960699194127,0.3158834772421056,0.07981941982519349,0.4503638807721507,2.57631871959155,7.571042932726171,0.4483383651654995
