gicdesc,public_date,ticker,roa,intcov_ratio,quick_ratio,intcov,bm,npm,debt_assets,debt_ebitda,inv_turn,cash_ratio,long_term_credit_rating,rating,gsector_15.0,gsector_20.0,gsector_25.0,gsector_30.0,gsector_35.0,gsector_40.0,gsector_45.0,gsector_50.0,gsector_55.0
Industrials,2017-02-28,XYL,0.1189470847183541,8.964912280701755,1.0638126009693054,5.56140350877193,0.2861886234946873,0.0689472288517634,0.6590979301822675,3.577039274924472,4.521465968586387,0.2487883683360259,BBB,1,0,1,0,0,0,0,0,0,0
Consumer Discretionary,2017-02-28,LOW,0.215372846740613,9.281055900621118,0.2182474369906205,4.787267080745342,0.1134132330333442,0.0390433655092926,0.7961563685095948,1.9789572443372203,3.880494929584154,0.1722421622479129,A-,1,0,0,1,0,0,0,0,0,0
Industrials,2017-02-28,MWA,0.1317705120296114,4.918032786885246,2.540181464679196,2.905737704918033,0.2473229710617845,0.057785510127998,0.67297461928934,3.029962546816479,2.4831064044377205,0.9870382372002592,BB-,0,0,1,0,0,0,0,0,0,0
Consumer Discretionary,2017-02-28,M,0.1170942034251387,3.646112600536193,0.2931972502214162,2.844504021447721,0.478487418161236,0.0263278738711158,0.8012574308290726,3.144393876706661,2.636359872479609,0.140736367087006,BBB-,1,0,0,1,0,0,0,0,0,0
Consumer Staples,2017-02-28,PEP,0.1766113104676069,9.239713774597496,1.1528743789921931,6.661001788908766,0.1081471363275311,0.1007818595837513,0.8489255217256404,2.9095133091825485,9.520852471063751,0.7629524485450674,A,1,0,0,0,1,0,0,0,0,0
Consumer Discretionary,2017-02-28,ILG,0.1173876149956787,7.666666666666667,1.0578034682080926,10.814814814814817,0.7628467531946491,0.1954277286135693,0.5175544794188862,3.7546468401486974,5.876904666278698,0.4624277456647399,BB+,0,0,0,1,0,0,0,0,0,0
Consumer Discretionary,2017-02-28,CPS,0.1726436688619711,7.039044190485394,1.514116168998949,4.358090313851506,0.3863539327925983,0.0400208356668838,0.710322101118031,1.8428039681255268,18.23039305085547,0.6322473931377429,BB-,0,0,0,1,0,0,0,0,0,0
Consumer Discretionary,2017-02-28,SALM,0.0868021787692092,2.30721066451222,1.4010986203372509,1.5973877331178885,1.7011266405977776,0.0323453180762683,0.6377137164813271,5.07661266854205,266.5156749840051,0.0033214103219213,B-,0,0,0,1,0,0,0,0,0,0
Industrials,2017-02-28,OC,0.1445671582567291,6.944444444444445,0.909657320872274,4.638888888888889,0.6685812585229052,0.0692267042451999,0.49735176333807,1.9231473010064044,5.796159527326441,0.122533748701973,BBB,1,0,1,0,0,0,0,0,0,0
Energy,2017-02-28,CKH,0.0312814373633787,-0.444727816374989,2.0165698515200745,-2.164438777005833,1.0879996060445458,-0.2598085404670361,0.5820636469494512,10.914072163313635,28.781829999277825,1.4046017153715782,B,0,0,0,0,0,0,0,0,0,0
Utilities,2017-02-28,ATO,0.1000608803456595,5.798710287605865,0.3270447368530445,4.078405915480848,0.6959806356414462,0.1398535895405699,0.6494517319012222,3.340703717504262,7.5761995264133075,0.0317589056247112,A,1,0,0,0,0,0,0,0,0,1
Industrials,2017-02-28,DLX,0.2342424678683658,17.050847457627118,0.8451588225671424,11.285265895435389,0.2779161832829588,0.1240531685795284,0.5966878752281011,1.6078126357684948,11.937366355955074,0.1842120456885519,BB,0,0,1,0,0,0,0,0,0,0
Materials,2017-02-28,CRS,0.0700280361354634,2.5901639344262297,1.2229689994119128,0.7278688524590164,0.7660287143946152,-0.0047968560365254,0.5933603644728481,3.161921708185053,2.061202848053325,0.1502142317062925,BBB-,1,1,0,0,0,0,0,0,0,0
Energy,2017-02-28,EEP,0.0907763927216398,2.2208476982356515,0.33596443476683,0.8627053336037315,0.4457179588835243,-0.015105200919253,0.5680587075720179,5.151789976133651,58.68181818181818,0.1209399383052078,BBB,1,0,0,0,0,0,0,0,0,0
Consumer Discretionary,2017-02-28,WWW,0.1040543034677932,6.040229885057472,2.0458495654779743,3.520114942528736,0.5288725106492761,0.0351559368235388,0.5994160463873011,3.234923137564052,3.6376793818226414,1.1081810008990112,BB+,0,0,0,1,0,0,0,0,0,0
Health Care,2017-02-28,MGLN,0.1178147146294707,15.676248405768666,1.15319760259871,8.640439517315805,0.6214315593003549,0.0161010683737712,0.548023539839595,2.3261847619190923,83.30387082665112,0.5863439630324381,BBB-,1,0,0,0,0,1,0,0,0,0
Health Care,2017-02-28,PFE,0.1183101083831011,11.468323977546111,1.0337779206170656,6.773055332798717,0.45788157051152,0.136282750265031,0.6513125309559188,2.09821517598963,1.4227756015668718,0.5736782902137233,AA,1,0,0,0,0,1,0,0,0,0
Utilities,2017-02-28,CNP,0.0966105229015592,2.194508009153318,0.8477272727272728,1.988558352402746,0.8219917134942804,0.0573857598299681,0.8414952586009437,4.120863309352518,16.51896813353566,0.4201298701298701,A-,1,0,0,0,0,0,0,0,0,1
Industrials,2017-02-28,DOV,0.1215324453982476,5.7020256449732765,0.8857847012706164,4.730852413105476,0.3872431556771445,0.0748993795131302,0.6243822280980676,3.19263399856478,4.689592693120877,0.1799426691913387,A-,1,0,1,0,0,0,0,0,0,0
Information Technology,2017-02-28,LRCX,0.143900397141409,9.363511335553884,3.0689728654351627,8.156018767236132,0.3725791628702608,0.1567075563832287,0.4628238723906513,2.1426805332636585,3.388507290693138,2.464556646919553,BBB,1,0,0,0,0,0,0,1,0,0
