,gsector,gicdesc,public_date,ticker,roa,intcov_ratio,quick_ratio,intcov,bm,npm,debt_assets,debt_ebitda,inv_turn,cash_ratio
17323,45.0,Information Technology,2017-02-28,AAPL,0.2275973631336323,34.728445747800585,1.2631707534493062,27.52023460410557,0.2617749731031604,0.2073052201102156,0.5903817818384972,1.2164444444444444,55.18713711478338,0.807713767840812
17907,45.0,Information Technology,2017-02-28,AMAT,0.1704575862991705,13.929032258064517,1.735407488986784,12.103225806451611,0.2302521608868632,0.1589838337182448,0.505278310940499,1.3120094191522762,3.064125676023693,1.0322136563876652
18652,30.0,Consumer Staples,2017-02-28,ADM,0.0641343242499311,5.313099041533547,0.9271995748880284,5.086261980830671,0.720330154506651,0.0205145478458922,0.5673765998642158,2.704252828716348,6.7660770762562965,0.4498595612237152
19493,45.0,Information Technology,2017-02-28,ARW,0.0801619021623681,5.502765725080433,1.1153877087649355,4.085982467014965,0.7369567449429625,0.0219409978341895,0.6856606397441822,2.556647082108535,7.771716425832866,0.0798777496097453
20045,15.0,Materials,2017-02-28,ASH,0.0324630579588086,0.1964285714285714,1.4777876895628903,-1.613095238095238,0.4770801567298907,-0.171484375,0.6986752391569232,11.273584905660377,2.461313868613139,0.7784121320249777
20836,45.0,Information Technology,2017-02-28,ADSK,-0.0247947666080625,,1.6116316068587593,,0.0706499711810282,-0.2026357645989548,0.7355115912125259,-11.443504996156802,,1.3743230430520514
21411,10.0,Energy,2017-02-28,ATW,0.1018470984491906,3.551546856678994,5.029421220741279,3.659218003066655,3.8065942630442073,0.2709870734770176,0.3160927111138462,2.864390878500932,3.0674268503551803,2.555697281883182
22073,15.0,Materials,2017-02-28,AVY,0.1822956354556219,9.483464566929134,0.6913635683280945,6.050393700787401,0.1509419849030343,0.0526903803499548,0.7894868528796288,1.662379421221865,8.441571457205853,0.1132564985281645
22938,45.0,Information Technology,2017-02-28,AVT,0.0627026949657979,5.848819020044111,1.5728663197032389,3.72045121109956,0.7734647287472171,0.0170287618260696,0.5938839124533725,3.97545718614731,5.26613298250702,0.2554649782029584
23329,45.0,Information Technology,2017-02-28,ADP,0.064453877212962,32.3596256684492,1.097124520981687,23.648395721925134,0.0845334627192517,0.1405775454319144,0.8991914027117217,0.7380493446414803,,0.0846235661877564
23861,30.0,Consumer Staples,2017-02-28,AVP,0.1326318097117176,2.724011713030747,0.946287945076395,0.314787701317716,,-0.0163702187942704,1.114510515077949,3.91301652892562,3.540317250495704,0.4404657737093626
